,Observed,Simulated
2014-08-01 01:55:00,0.0,0.0
2014-08-01 07:55:00,0.0,0.0
2014-08-01 13:55:00,0.0,0.0
2014-08-01 19:55:00,0.0,0.0001
2014-08-02 01:55:00,0.0,0.0005
2014-08-02 07:55:00,0.0,0.0005
2014-08-02 13:55:00,0.0,0.0005
2014-08-02 19:55:00,0.0,0.0006
2014-08-03 01:55:00,0.0,0.0006
2014-08-03 07:55:00,0.0,0.0006
2014-08-03 13:55:00,0.0,0.0007
2014-08-03 19:55:00,0.0,0.0007
2014-08-04 01:55:00,0.0,0.0007
2014-08-04 07:55:00,0.0,0.0007
2014-08-04 13:55:00,0.0,0.0007
2014-08-04 19:55:00,0.0,0.0007
2014-08-05 01:55:00,0.0,0.0007
2014-08-05 07:55:00,0.0,0.0007
2014-08-05 13:55:00,0.0,0.0007
2014-08-05 19:55:00,0.0,0.0007
2014-08-06 01:55:00,0.0,0.0007
2014-08-06 07:55:00,0.0,0.0007
2014-08-06 13:55:00,0.0,0.0007
2014-08-06 19:55:00,0.0,0.0007
2014-08-07 01:55:00,0.0,0.0007
2014-08-07 07:55:00,0.0,0.0007
2014-08-07 13:55:00,0.0,0.0007
2014-08-07 19:55:00,0.0,0.0007
2014-08-08 01:55:00,0.0,0.0007
2014-08-08 07:55:00,0.0,0.0007
2014-08-08 13:55:00,0.0,0.0007
2014-08-08 19:55:00,0.0,0.0007
2014-08-09 01:55:00,0.0,0.0007
2014-08-09 07:55:00,0.0,0.0007
2014-08-09 13:55:00,0.0,0.0007
2014-08-09 19:55:00,0.0,0.0007
2014-08-10 01:55:00,0.0,0.0007
2014-08-10 07:55:00,0.0,0.0007
2014-08-10 13:55:00,0.0,0.0007
2014-08-10 19:55:00,0.0,0.0007
2014-08-11 01:55:00,0.0,0.0007
2014-08-11 07:55:00,0.0,0.0007
2014-08-11 13:55:00,0.0,0.0007
2014-08-11 19:55:00,0.0,0.0007
2014-08-12 01:55:00,0.0,0.0007
2014-08-12 07:55:00,0.0,0.0632
2014-08-12 13:55:00,0.0,0.0146
2014-08-12 18:15:00,0.33980160000000004,1.9089
2014-08-12 18:20:00,11.2771656,13.2276
2014-08-12 18:25:00,27.5239296,27.9949
2014-08-12 18:30:00,34.404912,52.15205
2014-08-12 18:35:00,40.634608,58.2978
2014-08-12 18:40:00,44.9104448,61.4012
2014-08-12 18:45:00,37.059612,74.49855
2014-08-12 18:50:00,28.184654933333334,94.488
2014-08-12 18:55:00,18.707965866666665,110.0906
2014-08-12 19:00:00,13.875232,123.04580000000001
2014-08-12 19:05:00,10.3639488,93.7498
2014-08-12 19:10:00,8.4667232,78.6822
2014-08-12 19:15:00,5.521776,69.47635
2014-08-12 19:20:00,3.398016,67.5066
2014-08-12 19:40:00,2.0671264,41.2288
2014-08-12 19:45:00,1.7273247999999999,33.96210000000001
2014-08-12 19:50:00,1.3025728,31.1024
2014-08-12 19:55:00,1.0194048,30.9475
2014-08-12 20:05:00,0.7928704,25.4376
2014-08-12 20:20:00,0.5946528,14.3721
2014-08-12 21:00:00,0.0566336,4.84955
2014-08-12 21:10:00,0.0,3.8038
2014-08-13 07:55:00,0.0,0.3882
2014-08-13 13:55:00,0.0,0.0845
2014-08-13 19:55:00,0.0,0.0465
2014-08-14 01:55:00,0.0,0.0156
2014-08-14 07:55:00,0.0,0.0092
2014-08-14 13:55:00,0.0,0.0141
2014-08-14 19:55:00,0.0,0.0042
2014-08-15 01:55:00,0.0,0.0026
2014-08-15 07:55:00,0.0,0.0028
2014-08-15 13:55:00,0.0,0.0013
2014-08-15 19:55:00,0.0,0.001
2014-08-16 01:55:00,0.0,0.0012
2014-08-16 07:55:00,0.0,0.0024
2014-08-16 13:55:00,0.0,0.0014
2014-08-16 19:55:00,0.0,0.0029
2014-08-17 01:55:00,0.0,0.001
2014-08-17 07:55:00,0.0,0.0335
2014-08-17 13:25:00,0.0,0.0093
2014-08-17 13:55:00,0.0,0.0091
2014-08-17 19:55:00,0.0,0.0033
2014-08-18 01:55:00,0.0,0.0023
2014-08-18 07:55:00,0.0,0.0032
2014-08-18 13:55:00,0.0,0.0016
2014-08-18 19:55:00,0.0,0.001
2014-08-19 01:55:00,0.0,0.0015
2014-08-19 07:05:00,0.3681184,0.9985
2014-08-19 07:10:00,0.1982176,1.5329
2014-08-19 07:35:00,0.1699008,2.1898
2014-08-19 07:55:00,0.06607253333333334,1.7961
2014-08-19 08:15:00,0.0849504,1.3643999999999998
2014-08-19 08:35:00,0.0424752,1.0835
2014-08-19 08:40:00,0.0283168,1.0341
2014-08-19 09:20:00,0.0,0.5822
2014-08-19 10:25:00,0.141584,0.2397
2014-08-19 10:30:00,0.0283168,0.2257
2014-08-19 10:40:00,0.141584,0.2052
2014-08-19 10:45:00,0.0,0.1945
2014-08-19 10:50:00,0.0,0.1845
2014-08-19 11:45:00,0.0,0.1109
2014-08-19 13:10:00,0.0,0.0568
2014-08-19 13:55:00,0.0,0.0444
2014-08-19 19:55:00,0.0,0.0151
2014-08-20 01:55:00,0.0,0.0102
2014-08-20 07:55:00,0.0,0.0063
2014-08-20 13:55:00,0.0,0.0034
2014-08-20 19:55:00,0.0,0.003
