Time,Time_hr,Qstrm_m3s,Hlev_m
2014-08-12 16:00:00,280.0,0.0108,0.0115
2014-08-12 16:03:45,280.0625,0.0107,0.0115
2014-08-12 16:07:30,280.125,0.0106,0.0114
2014-08-12 16:11:15,280.1875,0.0105,0.0113
2014-08-12 16:15:00,280.25,0.0104,0.0113
2014-08-12 16:18:45,280.3125,0.0104,0.0112
2014-08-12 16:22:30,280.375,0.0103,0.0112
2014-08-12 16:26:15,280.4375,0.0103,0.0112
2014-08-12 16:30:00,280.5,0.0102,0.0112
2014-08-12 16:33:45,280.5625,0.0102,0.0111
2014-08-12 16:37:30,280.625,0.0102,0.0111
2014-08-12 16:41:15,280.6875,0.0101,0.0111
2014-08-12 16:45:00,280.75,0.0101,0.0111
2014-08-12 16:48:45,280.8125,0.0101,0.0111
2014-08-12 16:52:30,280.875,0.01,0.011
2014-08-12 16:56:15,280.9375,0.01,0.011
2014-08-12 17:00:00,281.0,0.01,0.011
2014-08-12 17:03:45,281.0625,0.01,0.011
2014-08-12 17:07:30,281.125,0.01,0.011
2014-08-12 17:11:15,281.1875,0.01,0.011
2014-08-12 17:15:00,281.25,0.01,0.011
2014-08-12 17:18:45,281.3125,0.01,0.011
2014-08-12 17:22:30,281.375,0.01,0.011
2014-08-12 17:26:15,281.4375,0.0101,0.011
2014-08-12 17:30:00,281.5,0.0101,0.0111
2014-08-12 17:33:45,281.5625,0.0102,0.0111
2014-08-12 17:37:30,281.625,0.0103,0.0112
2014-08-12 17:41:15,281.6875,0.0103,0.0112
2014-08-12 17:45:00,281.75,0.0104,0.0113
2014-08-12 17:48:45,281.8125,0.0105,0.0114
2014-08-12 17:52:30,281.875,0.0107,0.0114
2014-08-12 17:56:15,281.9375,0.0108,0.0115
2014-08-12 18:00:00,282.0,0.0109,0.0116
2014-08-12 18:03:45,282.0625,0.0111,0.0117
2014-08-12 18:07:30,282.125,0.016,0.0146
2014-08-12 18:11:15,282.1875,0.0302,0.0213
2014-08-12 18:15:00,282.25,0.2911,0.0832
2014-08-12 18:18:45,282.3125,3.5267,0.3715
2014-08-12 18:22:30,282.375,13.2276,0.8212
2014-08-12 18:26:15,282.4375,27.9949,1.2877
2014-08-12 18:30:00,282.5,47.9062,1.7775
2014-08-12 18:33:45,282.5625,56.3979,1.9603
2014-08-12 18:37:30,282.625,58.2978,1.9997
2014-08-12 18:41:15,282.6875,61.4012,2.0629
2014-08-12 18:45:00,282.75,68.7588,2.2078
2014-08-12 18:48:45,282.8125,80.2383,2.4221
2014-08-12 18:52:30,282.875,94.488,2.6717
2014-08-12 18:56:15,282.9375,110.0906,2.9283
2014-08-12 19:00:00,283.0,130.6518,3.2452
2014-08-12 19:03:45,283.0625,115.4398,3.0129
2014-08-12 19:07:30,283.125,93.7498,2.6592
2014-08-12 19:11:15,283.1875,78.6822,2.3938
2014-08-12 19:15:00,283.25,70.9498,2.2498
2014-08-12 19:18:45,283.3125,68.0029,2.1932
2014-08-12 19:22:30,283.375,67.5066,2.1836
2014-08-12 19:26:15,283.4375,68.0748,2.1946
2014-08-12 19:30:00,283.5,69.3742,2.2197
2014-08-12 19:33:45,283.5625,60.928,2.0533
2014-08-12 19:37:30,283.625,50.0451,1.8247
2014-08-12 19:41:15,283.6875,41.2288,1.6244
2014-08-12 19:45:00,283.75,35.5155,1.4853
2014-08-12 19:48:45,283.8125,32.4087,1.4059
2014-08-12 19:52:30,283.875,31.1024,1.3717
2014-08-12 19:56:15,283.9375,30.9475,1.3675
2014-08-12 20:00:00,284.0,31.7047,1.3875
2014-08-12 20:03:45,284.0625,29.4415,1.3272
2014-08-12 20:07:30,284.125,25.4376,1.2158
2014-08-12 20:11:15,284.1875,21.4131,1.0964
2014-08-12 20:15:00,284.25,18.1995,0.9945
2014-08-12 20:18:45,284.3125,15.9057,0.9173
2014-08-12 20:22:30,284.375,14.3721,0.8631
2014-08-12 20:26:15,284.4375,13.398,0.8275
2014-08-12 20:30:00,284.5,12.8151,0.8057
2014-08-12 20:33:45,284.5625,11.751,0.7649
2014-08-12 20:37:30,284.625,10.279,0.7059
2014-08-12 20:41:15,284.6875,8.7884,0.6426
2014-08-12 20:45:00,284.75,7.5244,0.5854
2014-08-12 20:48:45,284.8125,6.5507,0.5387
2014-08-12 20:52:30,284.875,5.8429,0.503
2014-08-12 20:56:15,284.9375,5.3496,0.477
2014-08-12 21:00:00,285.0,5.0214,0.4593
2014-08-12 21:03:45,285.0625,4.6777,0.4401
2014-08-12 21:07:30,285.125,4.254,0.4158
2014-08-12 21:11:15,285.1875,3.8038,0.3888
2014-08-12 21:15:00,285.25,3.3912,0.3629
2014-08-12 21:18:45,285.3125,3.0435,0.3401
2014-08-12 21:22:30,285.375,2.7615,0.3208
2014-08-12 21:26:15,285.4375,2.5367,0.3049
2014-08-12 21:30:00,285.5,2.3598,0.2919
2014-08-12 21:33:45,285.5625,2.2048,0.2803
2014-08-12 21:37:30,285.625,2.0752,0.2703
2014-08-12 21:41:15,285.6875,1.9627,0.2614
2014-08-12 21:45:00,285.75,1.8629,0.2533
2014-08-12 21:48:45,285.8125,1.7719,0.2458
2014-08-12 21:52:30,285.875,1.6873,0.2387
2014-08-12 21:56:15,285.9375,1.6087,0.232
2014-08-12 22:00:00,286.0,1.5378,0.2258
2014-08-12 22:03:45,286.0625,1.4813,0.2208
2014-08-12 22:07:30,286.125,1.4407,0.2171
2014-08-12 22:11:15,286.1875,1.4074,0.2141
2014-08-12 22:15:00,286.25,1.374,0.211
2014-08-12 22:18:45,286.3125,1.3395,0.2078
2014-08-12 22:22:30,286.375,1.3049,0.2046
2014-08-12 22:26:15,286.4375,1.271,0.2014
2014-08-12 22:30:00,286.5,1.2371,0.1982
2014-08-12 22:33:45,286.5625,1.196,0.1942
2014-08-12 22:37:30,286.625,1.141,0.1888
2014-08-12 22:41:15,286.6875,1.08,0.1826
